from,to,weight
nanochemistry,nanomaterials,0.11428571428571428
photoelectrochemical cell,photoelectrochemistry,0.12121212121212122
photoelectrochemical cell,reversible hydrogen electrode,0.08333333333333333
photoelectrochemical cell,photocathode,0.1590909090909091
photoelectrochemical cell,photocurrent,0.17424242424242425
graphitic carbon nitride,carbon nitride,0.20625
graphitic carbon nitride,carbon fibers,0.125
graphitic carbon nitride,degradation,0.08125
rhodamine b,degradation,0.13671875
rhodamine b,photodegradation,0.07421875
oxalic acid,degradation,0.07317073170731707
microscale chemistry,nanomaterials,0.09230769230769231
quantum yield,visible spectrum,0.06896551724137931
quantum yield,quantum efficiency,0.06896551724137931
polyacrylonitrile,electrospinning,0.28125
glassy carbon,carbon fibers,0.1794871794871795
glassy carbon,electrochemical gas sensor,0.14102564102564102
phase-change material,heat transfer enhancement,0.0947867298578199
heteroatom,carbon fibers,0.09523809523809523
heteroatom,oxygen evolution,0.07142857142857142
zeolitic imidazolate framework,imidazolate,0.34375
cellulose acetate,phase inversion,0.1
cellulose acetate,bacterial cellulose,0.1
cellulose acetate,thermogravimetric analysis,0.1
perovskite solar cell,non-blocking i/o,0.08108108108108109
perovskite solar cell,tandem,0.09009009009009009
diffractometer,monoclinic crystal system,0.1
delafossite,nanocrystalline material,0.07142857142857142
ammonia borane,nanomaterial-based catalyst,0.07692307692307693
ammonia borane,ammonia production,0.07692307692307693
thermal desorption spectroscopy,selective catalytic reduction,0.07407407407407407
thermal desorption spectroscopy,space velocity,0.07407407407407407
thermal desorption spectroscopy,temperature-programmed reduction,0.07407407407407407
inert gas,inert,0.17582417582417584
aqueous medium,degradation,0.09090909090909091
aqueous medium,nanomaterials,0.09090909090909091
nanocarriers,cancer therapy,0.0990990990990991
nanocarriers,biocompatibility,0.07207207207207207
absorption edge,visible spectrum,0.14705882352941177
sodium borohydride,reducing agent,0.11363636363636363
sodium borohydride,selective catalytic reduction,0.06818181818181818
photodegradation,visible spectrum,0.116600790513834
photodegradation,degradation,0.14624505928853754
photodegradation,methylene blue,0.09090909090909091
molar ratio,water-gas shift reaction,0.0784313725490196
electrochemical energy conversion,oxygen evolution,0.1206896551724138
electrochemical energy conversion,energy transformation,0.1724137931034483
electrochemical energy conversion,nanomaterials,0.06896551724137931
superparamagnetism,methyl orange,0.07017543859649122
superparamagnetism,nanomaterials,0.08771929824561403
nanometre,nanomaterials,0.11428571428571428
iron oxide nanoparticles,nanomaterials,0.14583333333333334
iron oxide nanoparticles,biocompatibility,0.10416666666666667
central composite design,langmuir adsorption model,0.0975609756097561
central composite design,malachite green,0.07317073170731707
nafion,electrochemical gas sensor,0.06666666666666667
nafion,amperometry,0.06666666666666667
cationic polymerization,degradation,0.13333333333333333
cationic polymerization,photodegradation,0.08333333333333333
polyvinylidene fluoride,phase inversion,0.11904761904761904
polyvinylidene fluoride,electrospinning,0.07142857142857142
polyvinylidene fluoride,thermogravimetric analysis,0.07142857142857142
glucose oxidase,nanomaterials,0.15517241379310345
cadmium oxide,absorbance,0.1111111111111111
dispersity,zeta potential,0.07407407407407407
dispersity,silver nanoparticle,0.09259259259259259
abts,silver nanoparticle,0.10526315789473684
abts,zeta potential,0.10526315789473684
nanodot,electrochemical gas sensor,0.06666666666666667
nanodot,surface modification,0.06666666666666667
nanodot,rhodamine b,0.06666666666666667
nanodot,crystal (programming language),0.06666666666666667
nanodot,charge carrier,0.06666666666666667
nanodot,degradation,0.06666666666666667
nanodot,amperometry,0.06666666666666667
nanodot,nanomaterials,0.06666666666666667
nanodot,thermal radiation,0.06666666666666667
nanodot,carbon fibers,0.06666666666666667
nanodot,dimensionless quantity,0.06666666666666667
nanodot,methylene blue,0.06666666666666667
hydrotalcite,layered double hydroxides,0.1
reversible hydrogen electrode,photoelectrochemical cell,0.0990990990990991
reversible hydrogen electrode,overpotential,0.08108108108108109
reversible hydrogen electrode,photocurrent,0.12612612612612611
reversible hydrogen electrode,photocathode,0.07207207207207207
sunlight,degradation,0.125
